Strength,筋力
Attack Damage while Fortified and Fortify Duration,Attack Damage while Fortified and Fortify Duration
"Physical Damage, Life Leeched per Second",物理ダメージ、秒間ライフリーチ
"Physical Damage, Critical Strike Chance","Physical Damage, Critical Strike Chance"
"Physical Damage, Attack Speed",物理ダメージ、アタックスピード
"Physical Damage, Warcry Speed",物理ダメージおよびウォークライスピード
Defy Pain,苦痛への反抗
"Evasion, Elemental Damage","Evasion, Elemental Damage"
"Armour and Evasion, Attack Damage while Fortified",アーマー・回避力および堅牢化時アタックダメージ
Damage with Life Cost Skills,ライフコストスキルのダメージ
Damage with Life Cost Skills and Reduced Life Cost,Damage with Life Cost Skills and Reduced Life Cost
Cannibalistic Rite,共食いの儀式
Physical and Minion Damage,物理・ミニオンダメージ
Melee Damage while Fortified,Melee Damage while Fortified
Armour while Fortified,Armour while Fortified
Rage Mastery,憤怒マスタリー
Reduced Reservation of Heralds,Reduced Reservation of Heralds
Stance Skill Reservation,Stance Skill Reservation
Reduced Reservation of Curse Skills,Reduced Reservation of Curse Skills
Physical Damage and Overwhelm,物理ダメージおよび圧倒効果
Vanquisher,制覇する者
Relentless,無慈悲
Physical Damage and Physical Damage Over Time Multiplier,Physical Damage and Physical Damage Over Time Multiplier
Veteran Soldier,ベテラン軍人
Curse Effect on You and Consecrated Ground Effect,Curse Effect on You and Consecrated Ground Effect
Asylum,避難
Careful Conservationist,慎重な節約者
Flask Effect Duration,フラスコ効果持続時間
Flask Charges Used,フラスコチャージ消費
Natural Remedies,自然の妙薬
Blood Artist,血のアーティスト
Phlebotomist,瀉血医
Tireless Soldier,疲れ知らずの軍人
Blood Oath,血の誓い
Thirst for Battle,戦いの渇望
Veinslicer,ヴェインスライサー
Murderous Intent,殺意
Arcane Recovery,アーケインリカバリー
Moment's Respite,一瞬の休憩
Shavronne's Secret,シャヴロンの秘密
Implacable,容赦のない者
Agile Combatant,機敏な戦士
Getaway Gambit,逃走の策略
Perpetual Motion,絶え間ない動き
Thought Barrier,思考のバリア
Sharp Intellect,鋭い知力
Waking Dream,目覚めた夢
Gargantuan Impacts,巨大な衝撃
Vicious Bloodletter,残忍なブラッドレッター
Lifelong Warrior,一生の戦士
Triad Torments,トライアドの苦痛
Way of the Blade,刃の流儀
Reckless Assault,無謀な攻撃
Brutal Skewering,残虐な刺突
Martyr's Legacy,殉教者の遺産
Dynamism,ダイナミズム
Energy Well,エネルギーの井戸
Apprentice Battlemage,見習いバトルメイジ
Elemental Adept,元素の達人
Black Thumb,萎れの才
Debilitating Energy,衰弱させるエネルギー
Blurred Form,ぼやけた姿
Reigning Champion,君臨するチャンピオン
Personal Combat,個人の戦い
Pride of the Arena,闘技場の誇り
Expert Fencer,剣術の名人
Arrow to the Face,顔面に矢
Arrowstorm,アローストーム
Venomous Ire,有毒な怒り
Accelerated Volley,加速した一斉射撃
Born for the Hunt,狩りのために生まれた者
Distant Snipe,遠距離狙撃
Colossal Arrows,巨大な矢
Spined Arrows,棘の矢
Feathered Arrows,羽の矢
Orchestral Chant,オーケストラの詠唱
Prestidigitation,奇術
Spellmaster,スペルマスター
One Man Leaves,帰る者はたった一人
Eyestabber,アイスタバー
Bloody Vengeance,血に汚れた復讐
Heart Eater,心臓を喰らう者
Mystical Expansion,神秘の拡大
Defensive Arts,防御の術
Classic Wizardry,高尚な魔術
Vitality Draughts,生の活力
Spirit Draughts,生の精神
Punishing Gale,天罰の強風
Forceful Circuit,強力な回路
Fanned Flames,煽られた炎
Machinist's Guarantee,機械工の保証
Unstable Mechanisms,不安定なメカニズム
Swiftfooted,俊足
Element of Surprise,意外性
Pernicious Infusion,有害な注入
Excessive Cruelty,過度の残虐さ
Path to Power,力への道
Shieldbashing,シールドバッシング
Shieldbearer,シールドベアラー
Volcanic Blood,火山の血
Heavy Combat,激しい戦い
Deadly Dance,デッドリーダンス
Twin Savagery,対なる凶暴性
Draining Glare,衰弱させる睨み
Thrill of the Kill,スリルオブキル
Acquired Tolerance,習得した耐性
Lingering Toxins,消え残る毒
Well-travelled Warrior,広く旅をした戦士
Hardheaded,石頭
Sly Shot,スライショット
Icebind,アイスバインド
Unbearable Agony,堪え難い苦痛
Wildfire Emissary,野火の使者
Coalwalker,コールウォーカー
Storm Ritual,嵐の儀式
Winter Hunt,冬の狩り
Dogged Refusal,頑固な拒絶
Constant Overcharge,コンスタントオーバーチャージ
Head Smasher,ヘッドスマッシャー
Helmet Crusher,ヘルメットクラッシャー
Skilled Poacher,熟練した密猟者
Frenetic Fighter,熱狂的な戦士
Indomitable Warrior,不屈の戦士
Intellectual Defence,知的な防御
Endless Endurance,無尽の忍耐力
Master of the Storm,嵐の支配者
Cruel Voltage,冷酷な電圧
Master of Immolation,火焙りの支配者
Master of Winter,冬の支配者
The Untouchable,ザ・アンタッチャブル
Staff Block,スタッフブロック
Elemental Resistances with a Shield,盾装備時元素耐性
Spiked Bulwark,刺の砦
Elemental Resistances,元素耐性
Shock Chance,感電付与確率
Dagger Critical Strike Multiplier,短剣クリティカルダメージ倍率
Dagger Critical Strike Chance and Leech,短剣クリティカル率およびリーチ
Minion Resistances,ミニオン耐性
Wand Lightning Damage,ワンド雷ダメージ
Freeze Chance,凍結付与確率
Burning Damage Multiplier,燃焼ダメージ倍率
Cold Damage and Freeze Chance,冷気ダメージおよび凍結確率
Cold Ailment Duration,冷気系状態異常持続時間
Vampirism,ヴァンピリズム
One With Nature,自然との一体感
Life Raker,ライフレイカー
Intuition,直観
Physical Bow Damage and Stun Threshold,物理弓ダメージおよびスタン閾値
Bow Damage Over Time,弓継続ダメージ
Poison Chance and Damage,毒付与確率およびダメージ
Evasion and Spell Suppression,回避力およびスペル抑制
Life and Stun Avoidance,ライフおよびスタン無効化確率
Mana and Flask Charges Gained,マナおよびフラスコ獲得チャージ
Shock Avoidance,感電無効化確率
Ignite Avoidance,発火無効化確率
Freeze and Chill Avoidance,凍結・冷却無効化確率
Projectile Damage and Accuracy,投射物ダメージおよび命中
Ballistics,バリスティックス
Accuracy and Attack Damage,命中およびアタックダメージ
Projectile Attack Critical Strike Chance,投射物アタッククリティカル率
Projectile Attack Critical Strike Chance and Multiplier,投射物アタッククリティカル率およびダメージ倍率
Spell Damage and Mana,スペルダメージおよびマナ
Movement Speed and Spell Suppression,移動スピードおよびスペル抑制
Mana Regeneration,マナ自動回復
Presage,前兆
Shield Block and Elemental Resistances with a Shield,盾ブロックおよび盾装備時元素耐性
Sword Critical Strike Chance,剣クリティカル率
Savage Wounds,過酷な傷
Dual Wield Block and Attack Speed,二刀流ブロックおよびアタックスピード
Ignite Chance and Duration,発火確率および発火持続時間
Reservation Efficiency,リザーブ効率
Attack Ignite Chance and Attack Speed,アタック発火確率およびアタックスピード
Trap Critical Strike Chance and Multiplier,トラップクリティカル率・ダメージ倍率
Energy Shield Recharge Rate,エナジーシールドリチャージレート
Mine Detonation Speed,マイン起爆スピード
Trap Throwing Speed,トラップ投擲スピード
Essence Infusion,エッセンス注入
One with Evil,One with Evil
Minion Block,ミニオンブロック
Minion Spell Block,ミニオンスペルブロック
Goliath,ゴライアス
Axe Damage and Impale Chance,斧ダメージおよび串刺し確率
Clever Thief,賢い泥棒
Cold Ailment Effect,Cold Ailment Effect
Chance to Ignite,発火確率
Lightning Ailment Effect,雷系状態異常効果
Avoid Interruption while Casting and Elemental Resistances,キャスト阻害回避および元素耐性
Chance for Extra Fork Projectile,投射物追加分岐発生確率
Avoid Status Ailments,状態異常回避
Master of Blades,刃の支配者
Mana and Mana on Kill,マナおよび撃破時マナ獲得
Thrill Killer,スリルキラー
Claw Critical Strike Chance and Accuracy,鉤爪クリティカル率および命中
Claw Critical Strike Chance,鉤爪クリティカル率
Claw Attack Speed,鉤爪アタックスピード
Claw Ailment Damage and Poison Duration,鉤爪装備時状態異常ダメージおよび毒持続時間
Claw Ailment Damage and Poison Chance,鉤爪装備時状態異常ダメージおよび毒付与確率
Life Recoup,ライフ回収
Robust,頑健な
Shield Block and Elemental Resistances,盾ブロックおよび元素耐性
Faster Bleeding,出血速度
Maximum Lightning Resistance,最大雷耐性
Sword Critical Strike Multiplier,剣クリティカルダメージ倍率
Sword Accuracy and Critical Strike Chance,剣命中およびクリティカル率
Mana on Hit,ヒット時マナ獲得
Attack Damage while Fortified,堅牢化時アタックダメージ
Fortification Gain,堅牢化獲得
Explosive Elements,爆発する元素
Totem Critical Strike Chance,トーテムクリティカル率
Totem Critical Strike Multiplier,トーテムクリティカルダメージ倍率
Ignite Chance,発火確率
Reigning Veteran,Reigning Veteran
Heartstopper,ハートストッパー
Damage Over Time Multiplier and Life Regeneration,継続ダメージ倍率およびライフ自動回復
Poison Damage Multiplier,毒継続ダメージ倍率
Poison Chance and Duration,毒付与確率および持続時間
Trap Trigger Area,トラップ発動範囲
Trap Cooldown Recovery,トラップクールダウン短縮
Mine Duration,マイン持続時間
Physical Damage as Extra Cold Damage,物理ダメージに基づく追加冷気ダメージ
Weapon Elemental Damage and Ailment Effect,武器元素ダメージおよび状態異常効果
Ailment Damage,状態異常ダメージ
Damaging Ailment Duration,Damaging Ailment Duration
Chain Distance,連鎖距離
Minion Accuracy,Minion Accuracy
Minion Damage and Attack and Cast Speed,ミニオンダメージおよびミニオンアタック・キャストスピード
Life Regeneration and Stun Threshold,Life Regeneration and Stun Threshold
Brand Critical Strike Chance,ブランドクリティカル率
Avoidance,Avoidance
Stun Avoidance,スタン無効化確率
Bleed Avoidance,出血無効化確率
Poison Avoidance,毒無効化確率
Taste for Blood,血の味
Tolerance,耐久力
"Chance to Ignite, Freeze and Shock",発火・凍結・感電確率
Ailment Effect,状態異常効果
Life and Energy Shield on Kill,撃破時ライフ・エナジーシールド
Life and Mana on Hit,ヒット時ライフ・マナ獲得
Dual Wield Attack and Cast Speed,二刀流アタック・キャストスピード
Shield Spell Block,盾スペルブロック
Block Recovery and Energy Shield,ブロック回復およびエナジーシールド
Arcane Sanctuary,アーケインサンクチュアリ
Attack Damage and Leech,アタックダメージおよびリーチ
Attack Damage and Speed,アタックダメージおよびスピード
Evasion and Blind Effect,回避力および盲目効果
Blind Duration,盲目持続時間
Maximum Fortification,最大堅牢化
Season of Ice,氷の季節
Spell Suppression,スペル抑制
Inveterate,執念深さ
Merciless Skewering,残酷な刺突
Physical Damage as Extra Fire Damage,物理ダメージに基づく追加火ダメージ
Critical Strikes against Blinded Enemies,盲目状態の敵に対してのクリティカル率
Armour per Endurance Charge,エンデュランスチャージごとにアーマー
Maximum Cold Resistance,最大冷気耐性
Maximum Fire Resistance,最大火耐性
Prismatic Skin,プリズマティックスキン
Courage,勇気
Mace Critical Strike Chance,メイスクリティカル率
Spell Suppression and Life Flask Recovery,スペル抑制およびライフフラスコ回復
Entrench,塹壕
Bow Area of Effect,弓効果範囲
Claw Critical Strike Multiplier,鉤爪クリティカルダメージ倍率
Dagger Ailment Damage,短剣状態異常ダメージ
Dagger Ailment Damage and Poison Chance,短剣状態異常ダメージおよび毒付与確率
Dagger Critical Strike Chance,短剣クリティカル率
Wasting,虚弱
Shield Damage,盾装備時ダメージ
Spell Block,スペルブロック
Spell Block and Elemental Resistances,スペルブロックおよび元素耐性
Safeguard,防衛
Life on Hit,Life on Hit
Life on Kill and Recoup,撃破時ライフおよびライフ回収
Warrior Training,戦士の訓練
Staff Accuracy,スタッフ命中
Life on Kill against Cursed Enemies,呪われた敵に対しての撃破時ライフ
Minion Area of Effect,Minion Area of Effect
Link Mana Cost,リンクマナコスト
Link Mana Cost and Cast Speed,Link Mana Cost and Cast Speed
Inspiring Bond,勇ましい絆
Life Flasks and Flask Duration,ライフフラスコおよびフラスコ持続時間
Field Medicine,戦場での治療
Mine Area of Effect,マイン効果範囲
Mine Damage and Reservation Efficiency,マインダメージおよびリザーブ効率
Faster Ignite,発火速度
Powerful Bond,強力な絆
Link Duration and Cast Speed,Link Duration and Cast Speed
Link Duration,リンク持続時間
Attack Ignite Chance,アタック発火確率
Burning Damage Multiplier with Attacks,アタック燃焼ダメージ倍率
